Wr Wrk Inst,Institution,Usage Source,Number of Copies,Number of Pages,Comment,Line,Error Reason
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,788,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,789,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,790,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,791,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,792,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,793,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,794,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,795,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,796,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,797,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,798,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,799,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,800,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,801,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,802,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,803,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,804,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,805,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,806,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,807,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,808,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,809,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,810,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,811,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,812,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,813,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,814,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,815,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,816,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,817,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,818,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,819,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,820,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,821,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,822,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,823,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,824,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,825,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,826,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,827,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,828,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,829,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,830,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,831,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,832,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,833,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,834,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,835,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,836,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,837,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,838,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,839,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,840,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,841,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,842,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,843,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,844,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,845,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,846,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,847,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,848,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,849,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,850,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,851,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,852,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,853,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,854,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,855,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,856,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,857,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,858,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,859,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,860,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,861,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,862,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,863,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,864,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,865,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,866,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,867,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,868,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,869,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,870,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,871,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,872,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,873,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,874,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,875,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,876,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,877,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,878,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,879,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,880,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,881,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,882,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,883,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,884,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,885,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,886,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,887,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,888,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,889,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,890,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,891,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,892,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,893,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,894,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,895,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,896,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,897,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,898,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,899,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,900,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,901,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,902,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,903,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,904,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,905,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,906,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,907,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,908,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,909,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,910,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,911,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,912,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,913,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,914,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,915,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,916,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,917,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,918,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,919,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,920,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,921,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,922,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,923,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,924,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,925,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,926,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,927,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,928,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,929,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,930,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,931,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,932,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,933,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,934,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,935,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,936,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,937,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,938,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,939,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,940,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,941,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,942,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,943,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,944,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,945,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,946,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,947,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,948,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,949,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,950,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,951,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,952,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,953,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,954,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,955,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,956,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,957,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,958,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,959,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,960,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,961,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,962,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,963,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,964,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,965,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,966,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,967,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,968,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,969,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,970,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,971,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,972,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,973,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,974,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,975,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,976,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,977,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,978,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,979,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,980,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,981,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,982,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,983,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,984,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
